Cycle 64, cell 229 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 83, cell 155 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 85, cell 323 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 86, cell 71 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 87, cell 62 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 94, cell 276 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 95, cell 363 died of STRUCTURAL_COLLAPSE. E: 182.00, S: 0.00
Cycle 96, cell 87 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 96, cell 153 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 96, cell 219 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 98, cell 74 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 101, cell 270 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 101, cell 56 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 104, cell 149 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 104, cell 162 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 106, cell 224 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 107, cell 309 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 107, cell 157 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 107, cell 272 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 107, cell 209 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 107, cell 40 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 107, cell 198 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 108, cell 190 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 109, cell 145 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 109, cell 441 died of STRUCTURAL_COLLAPSE. E: 193.50, S: 0.00
Cycle 109, cell 67 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 110, cell 123 died of STRUCTURAL_COLLAPSE. E: 48.75, S: 0.00
Cycle 110, cell 208 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 110, cell 126 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 111, cell 305 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 111, cell 315 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 111, cell 195 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 112, cell 248 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 112, cell 165 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 113, cell 232 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 113, cell 215 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 113, cell 319 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 113, cell 223 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 114, cell 240 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 114, cell 76 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 116, cell 22 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 116, cell 120 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 116, cell 167 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 116, cell 110 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 116, cell 337 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 117, cell 259 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 118, cell 274 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 118, cell 376 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 121, cell 461 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 122, cell 146 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 122, cell 294 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 122, cell 60 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 123, cell 310 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 124, cell 130 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 124, cell 80 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 125, cell 286 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 126, cell 296 died of STRUCTURAL_COLLAPSE. E: 63.50, S: 0.00
Cycle 127, cell 169 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 128, cell 292 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 128, cell 100 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 128, cell 122 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 129, cell 119 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 130, cell 343 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 130, cell 291 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 130, cell 160 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 131, cell 431 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 131, cell 250 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 131, cell 181 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 132, cell 278 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 132, cell 255 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 133, cell 89 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 133, cell 203 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 133, cell 239 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 133, cell 297 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 133, cell 54 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 133, cell 99 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 135, cell 191 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 137, cell 84 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 137, cell 377 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 137, cell 353 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 138, cell 515 died of STRUCTURAL_COLLAPSE. E: 94.75, S: 0.00
Cycle 139, cell 539 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 140, cell 142 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 140, cell 334 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 140, cell 427 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 140, cell 268 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 141, cell 347 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 141, cell 266 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 141, cell 293 died of STRUCTURAL_COLLAPSE. E: 1.00, S: 0.00
Cycle 141, cell 379 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 141, cell 399 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 142, cell 217 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 142, cell 378 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 142, cell 621 died of STRUCTURAL_COLLAPSE. E: 109.00, S: 0.00
Cycle 142, cell 410 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 142, cell 95 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 142, cell 144 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 143, cell 175 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 144, cell 358 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 144, cell 25 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 144, cell 125 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 144, cell 280 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 144, cell 187 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 145, cell 594 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 145, cell 220 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 145, cell 177 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 145, cell 114 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 145, cell 93 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 146, cell 386 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 147, cell 46 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 147, cell 252 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 148, cell 501 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 148, cell 487 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 148, cell 96 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 148, cell 499 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 149, cell 350 died of STRUCTURAL_COLLAPSE. E: 125.50, S: 0.00
Cycle 149, cell 429 died of STRUCTURAL_COLLAPSE. E: 147.20, S: 0.00
Cycle 149, cell 641 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 150, cell 436 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 151, cell 652 died of STRUCTURAL_COLLAPSE. E: 118.50, S: 0.00
Cycle 151, cell 290 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 151, cell 387 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 151, cell 234 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 152, cell 170 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 152, cell 202 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 152, cell 273 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 153, cell 500 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 153, cell 211 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 153, cell 143 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 154, cell 73 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 154, cell 322 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 155, cell 184 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 155, cell 70 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
